Line_no:1:	https://rfam.org/family/RF00005#tabview=tab6
3J2D	N	Bacterial small subunit ribosomal RNA
4TUC	XA	Bacterial small subunit ribosomal RNA
4V5K	CA	Bacterial small subunit ribosomal RNA
4V9P	HA	Bacterial small subunit ribosomal RNA
5IT8	AA	Bacterial small subunit ribosomal RNA
5J91	AA	Bacterial small subunit ribosomal RNA
6OTR	XA	Bacterial small subunit ribosomal RNA
6VYW	D	Bacterial small subunit ribosomal RNA
6WD4	3	Bacterial small subunit ribosomal RNA
7JSS	3	Bacterial small subunit ribosomal RNA
7MD7	2a	Bacterial small subunit ribosomal RNA
3JBU	A	Bacterial small subunit ribosomal RNA
5U9G	A	Bacterial small subunit ribosomal RNA
6BZ6	QA	Bacterial small subunit ribosomal RNA
6YPU	4	Bacterial small subunit ribosomal RNA
7PJZ	a	Bacterial small subunit ribosomal RNA
7SSO	3	Bacterial small subunit ribosomal RNA
7UNV	a	Bacterial small subunit ribosomal RNA
1HNX	A	Bacterial small subunit ribosomal RNA
4DV0	A	Bacterial small subunit ribosomal RNA
4LEL	QA	Bacterial small subunit ribosomal RNA
4TUB	XA	Bacterial small subunit ribosomal RNA
4Z3S	1a	Bacterial small subunit ribosomal RNA
6FKR	1a	Bacterial small subunit ribosomal RNA
6XHV	2a	Bacterial small subunit ribosomal RNA
6YSS	a	Bacterial small subunit ribosomal RNA
7N2U	16	Bacterial small subunit ribosomal RNA
4B3S	A	Bacterial small subunit ribosomal RNA
4DUY	A	Bacterial small subunit ribosomal RNA
4LNT	QA	Bacterial small subunit ribosomal RNA
4V5B	DA	Bacterial small subunit ribosomal RNA
5J8A	BA	Bacterial small subunit ribosomal RNA
6GXM	a	Bacterial small subunit ribosomal RNA
7AF8	1	Bacterial small subunit ribosomal RNA
7O1A	AA	Bacterial small subunit ribosomal RNA
7RQ9	2a	Bacterial small subunit ribosomal RNA
4TUE	XA	Bacterial small subunit ribosomal RNA
4V8X	CA	Bacterial small subunit ribosomal RNA
4V9A	CA	Bacterial small subunit ribosomal RNA
5EL5	1G	Bacterial small subunit ribosomal RNA
5J4B	2a	Bacterial small subunit ribosomal RNA
6W7N	A	Bacterial small subunit ribosomal RNA
1VY6	AA	Bacterial small subunit ribosomal RNA
3IZZ	D	Bacterial small subunit ribosomal RNA
4LFC	A	Bacterial small subunit ribosomal RNA
4V7Y	AA	Bacterial small subunit ribosomal RNA
4XEJ	A16S	Bacterial small subunit ribosomal RNA
6GSJ	1G	Bacterial small subunit ribosomal RNA
6O97	1a	Bacterial small subunit ribosomal RNA
6XQE	1a	Bacterial small subunit ribosomal RNA
6YW5	aa	Bacterial small subunit ribosomal RNA
6ZSD	AA	Bacterial small subunit ribosomal RNA
7PAS	5	Bacterial small subunit ribosomal RNA
2YKR	A	Bacterial small subunit ribosomal RNA
4DR6	A	Bacterial small subunit ribosomal RNA
4V4G	EA	Bacterial small subunit ribosomal RNA
5JC9	AA	Bacterial small subunit ribosomal RNA
6GSK	1G	Bacterial small subunit ribosomal RNA
6ZS9	AA	Bacterial small subunit ribosomal RNA
7K50	3	Bacterial small subunit ribosomal RNA
7M4Z	a	Bacterial small subunit ribosomal RNA
1VY5	AA	Bacterial small subunit ribosomal RNA
4B3R	A	Bacterial small subunit ribosomal RNA
4V57	CA	Bacterial small subunit ribosomal RNA
5JC9	BA	Bacterial small subunit ribosomal RNA
6OXA	XA	Bacterial small subunit ribosomal RNA
7V2P	A	Bacterial small subunit ribosomal RNA
8D8L	a	Bacterial small subunit ribosomal RNA
4TUE	QA	Bacterial small subunit ribosomal RNA
4V4B	AA	Bacterial small subunit ribosomal RNA
4V7P	DA	Bacterial small subunit ribosomal RNA
4W29	AA	Bacterial small subunit ribosomal RNA
4WQU	DA	Bacterial small subunit ribosomal RNA
5LZB	a	Bacterial small subunit ribosomal RNA
6NWY	XA	Bacterial small subunit ribosomal RNA
6OPE	XA	Bacterial small subunit ribosomal RNA
6OSI	QA	Bacterial small subunit ribosomal RNA
1I95	A	Bacterial small subunit ribosomal RNA
5NGM	Aa	Bacterial small subunit ribosomal RNA
6NTA	QA	Bacterial small subunit ribosomal RNA
6Q97	2	Bacterial small subunit ribosomal RNA
6YDP	BA	Bacterial small subunit ribosomal RNA
7OE0	A	Bacterial small subunit ribosomal RNA
1I94	A	Bacterial small subunit ribosomal RNA
1VY7	AA	Bacterial small subunit ribosomal RNA
4JI8	A	Bacterial small subunit ribosomal RNA
4V4R	AA	Bacterial small subunit ribosomal RNA
4V64	AA	Bacterial small subunit ribosomal RNA
4V8H	CA	Bacterial small subunit ribosomal RNA
4WOI	DA	Bacterial small subunit ribosomal RNA
5E7K	13	Bacterial small subunit ribosomal RNA
6CFK	1a	Bacterial small subunit ribosomal RNA
6O3M	XA	Bacterial small subunit ribosomal RNA
6OF1	1a	Bacterial small subunit ribosomal RNA
6OSI	XA	Bacterial small subunit ribosomal RNA
6WDC	3	Bacterial small subunit ribosomal RNA
6WNV	3	Bacterial small subunit ribosomal RNA
7AC7	2	Bacterial small subunit ribosomal RNA
7PO0	A	Bacterial small subunit ribosomal RNA
7S1H	C	Bacterial small subunit ribosomal RNA
2HHH	A	Bacterial small subunit ribosomal RNA
4V4Q	AA	Bacterial small subunit ribosomal RNA
5NDK	1G	Bacterial small subunit ribosomal RNA
5NWY	0	Bacterial small subunit ribosomal RNA
6CFJ	1a	Bacterial small subunit ribosomal RNA
6HTQ	a	Bacterial small subunit ribosomal RNA
6RW5	A	Bacterial small subunit ribosomal RNA
7OI0	A	Bacterial small subunit ribosomal RNA
4B3M	A	Bacterial small subunit ribosomal RNA
4V8U	AA	Bacterial small subunit ribosomal RNA
4WT1	1G	Bacterial small subunit ribosomal RNA
6GXN	a	Bacterial small subunit ribosomal RNA
6H4N	a	Bacterial small subunit ribosomal RNA
6WD5	3	Bacterial small subunit ribosomal RNA
1IBM	A	Bacterial small subunit ribosomal RNA
2OM7	C	Bacterial small subunit ribosomal RNA
4JI0	A	Bacterial small subunit ribosomal RNA
4V6T	AA	Bacterial small subunit ribosomal RNA
4X62	A	Bacterial small subunit ribosomal RNA
5LMN	A	Bacterial small subunit ribosomal RNA
6BY1	AA	Bacterial small subunit ribosomal RNA
6OPE	QA	Bacterial small subunit ribosomal RNA
6XHY	1a	Bacterial small subunit ribosomal RNA
7BGD	a	Bacterial small subunit ribosomal RNA
7PIB	5	Bacterial small subunit ribosomal RNA
7PNY	A	Bacterial small subunit ribosomal RNA
4V77	AA	Bacterial small subunit ribosomal RNA
4W2F	CA	Bacterial small subunit ribosomal RNA
5DFE	XA	Bacterial small subunit ribosomal RNA
6ORL	2	Bacterial small subunit ribosomal RNA
6WD9	3	Bacterial small subunit ribosomal RNA
7NSJ	AA	Bacterial small subunit ribosomal RNA
8CVL	1a	Bacterial small subunit ribosomal RNA
8EKB	2a	Bacterial small subunit ribosomal RNA
1VVJ	XA	Bacterial small subunit ribosomal RNA
4V48	BA	Bacterial small subunit ribosomal RNA
4V50	AA	Bacterial small subunit ribosomal RNA
4V8E	BA	Bacterial small subunit ribosomal RNA
4V9O	BA	Bacterial small subunit ribosomal RNA
4WQF	BA	Bacterial small subunit ribosomal RNA
5HCR	2a	Bacterial small subunit ribosomal RNA
6CAR	A	Bacterial small subunit ribosomal RNA
6YDW	BA	Bacterial small subunit ribosomal RNA
7A5I	A6	Bacterial small subunit ribosomal RNA
7BOF	A	Bacterial small subunit ribosomal RNA
7M4Y	a	Bacterial small subunit ribosomal RNA
1FJG	A	Bacterial small subunit ribosomal RNA
4V7A	AA	Bacterial small subunit ribosomal RNA
4V9C	AA	Bacterial small subunit ribosomal RNA
4Y4P	1a	Bacterial small subunit ribosomal RNA
5A9Z	BA	Bacterial small subunit ribosomal RNA
5KCS	1a	Bacterial small subunit ribosomal RNA
6I7V	BA	Bacterial small subunit ribosomal RNA
6VYU	D	Bacterial small subunit ribosomal RNA
6WDA	3	Bacterial small subunit ribosomal RNA
7P2E	A	Bacterial small subunit ribosomal RNA
8CVJ	2a	Bacterial small subunit ribosomal RNA
4V50	CA	Bacterial small subunit ribosomal RNA
4V5G	CA	Bacterial small subunit ribosomal RNA
4YPB	XA	Bacterial small subunit ribosomal RNA
6Q9A	2	Bacterial small subunit ribosomal RNA
6XZB	A1	Bacterial small subunit ribosomal RNA
6ZTP	AA	Bacterial small subunit ribosomal RNA
7JSZ	3	Bacterial small subunit ribosomal RNA
1VY4	CA	Bacterial small subunit ribosomal RNA
3J2H	N	Bacterial small subunit ribosomal RNA
4DR2	A	Bacterial small subunit ribosomal RNA
4V8J	CA	Bacterial small subunit ribosomal RNA
4V8O	AA	Bacterial small subunit ribosomal RNA
4W2H	AA	Bacterial small subunit ribosomal RNA
4WWW	XA	Bacterial small subunit ribosomal RNA
5KPS	27	Bacterial small subunit ribosomal RNA
7ASP	X	Bacterial small subunit ribosomal RNA
7M4U	a	Bacterial small subunit ribosomal RNA
4V9H	AA	Bacterial small subunit ribosomal RNA
4X65	A	Bacterial small subunit ribosomal RNA
5FDV	1a	Bacterial small subunit ribosomal RNA
5ME0	A	Bacterial small subunit ribosomal RNA
5ME1	A	Bacterial small subunit ribosomal RNA
6H58	a	Bacterial small subunit ribosomal RNA
6YWX	aa	Bacterial small subunit ribosomal RNA
7PAN	5	Bacterial small subunit ribosomal RNA
3J5S	B	Bacterial small subunit ribosomal RNA
3J9W	AA	Bacterial small subunit ribosomal RNA
4V56	AA	Bacterial small subunit ribosomal RNA
4V6E	AA	Bacterial small subunit ribosomal RNA
5LZC	a	Bacterial small subunit ribosomal RNA
5WNP	A	Bacterial small subunit ribosomal RNA
6BZ8	QA	Bacterial small subunit ribosomal RNA
6YDP	AA	Bacterial small subunit ribosomal RNA
7K52	3	Bacterial small subunit ribosomal RNA
7PAO	5	Bacterial small subunit ribosomal RNA
7QGR	0	Bacterial small subunit ribosomal RNA
1JGQ	A	Bacterial small subunit ribosomal RNA
4V6C	AA	Bacterial small subunit ribosomal RNA
5J91	BA	Bacterial small subunit ribosomal RNA
5WNQ	A	Bacterial small subunit ribosomal RNA
6N9E	2a	Bacterial small subunit ribosomal RNA
7LH5	AA	Bacterial small subunit ribosomal RNA
8CVK	2a	Bacterial small subunit ribosomal RNA
4V8A	CA	Bacterial small subunit ribosomal RNA
4V9A	AA	Bacterial small subunit ribosomal RNA
6XQD	1a	Bacterial small subunit ribosomal RNA
7N2V	16	Bacterial small subunit ribosomal RNA
7PIA	5	Bacterial small subunit ribosomal RNA
1J5E	A	Bacterial small subunit ribosomal RNA
1VY5	CA	Bacterial small subunit ribosomal RNA
3J2A	N	Bacterial small subunit ribosomal RNA
4JYA	A	Bacterial small subunit ribosomal RNA
4LF5	A	Bacterial small subunit ribosomal RNA
4LF7	A	Bacterial small subunit ribosomal RNA
4V4A	AA	Bacterial small subunit ribosomal RNA
4V7J	Ba	Bacterial small subunit ribosomal RNA
6AWC	A	Bacterial small subunit ribosomal RNA
6OG7	3	Bacterial small subunit ribosomal RNA
7RYF	a	Bacterial small subunit ribosomal RNA
7V2O	A	Bacterial small subunit ribosomal RNA
3T1H	A	Bacterial small subunit ribosomal RNA
5J88	BA	Bacterial small subunit ribosomal RNA
7SSN	3	Bacterial small subunit ribosomal RNA
7V2M	A	Bacterial small subunit ribosomal RNA
2UU9	A	Bacterial small subunit ribosomal RNA
4LSK	QA	Bacterial small subunit ribosomal RNA
4U25	AA	Bacterial small subunit ribosomal RNA
4V7L	CA	Bacterial small subunit ribosomal RNA
4V9J	CA	Bacterial small subunit ribosomal RNA
4WZO	13	Bacterial small subunit ribosomal RNA
5NDJ	13	Bacterial small subunit ribosomal RNA
6Q95	2	Bacterial small subunit ribosomal RNA
7DUJ	A	Bacterial small subunit ribosomal RNA
8APN	B3	Bacterial small subunit ribosomal RNA
6XIJ	D	Bacterial small subunit ribosomal RNA
1JGO	A	Bacterial small subunit ribosomal RNA
4JI3	A	Bacterial small subunit ribosomal RNA
4LT8	QA	Bacterial small subunit ribosomal RNA
4V4Z	AA	Bacterial small subunit ribosomal RNA
5XYU	A	Bacterial small subunit ribosomal RNA
6N1D	A16S	Bacterial small subunit ribosomal RNA
6O8Y	a	Bacterial small subunit ribosomal RNA
6VZ5	D	Bacterial small subunit ribosomal RNA
7NAX	A	Bacterial small subunit ribosomal RNA
4V4J	y	Bacterial small subunit ribosomal RNA
4V5E	AA	Bacterial small subunit ribosomal RNA
4V6O	AA	Bacterial small subunit ribosomal RNA
4V7I	BA	Bacterial small subunit ribosomal RNA
5HCP	1a	Bacterial small subunit ribosomal RNA
5V8I	2a	Bacterial small subunit ribosomal RNA
6N9F	2a	Bacterial small subunit ribosomal RNA
6O90	a	Bacterial small subunit ribosomal RNA
1YSH	B	Bacterial small subunit ribosomal RNA
4V8B	AA	Bacterial small subunit ribosomal RNA
4ZER	1a	Bacterial small subunit ribosomal RNA
5D8B	YC	Bacterial small subunit ribosomal RNA
5MGP	a	Bacterial small subunit ribosomal RNA
5UQ8	a	Bacterial small subunit ribosomal RNA
6WDI	3	Bacterial small subunit ribosomal RNA
7PIC	5	Bacterial small subunit ribosomal RNA
7RQ8	2a	Bacterial small subunit ribosomal RNA
4V7Z	CA	Bacterial small subunit ribosomal RNA
4WRA	1G	Bacterial small subunit ribosomal RNA
5NDK	13	Bacterial small subunit ribosomal RNA
6BZ6	XA	Bacterial small subunit ribosomal RNA
6LKQ	s	Bacterial small subunit ribosomal RNA
6ND6	2a	Bacterial small subunit ribosomal RNA
6VWL	1	Bacterial small subunit ribosomal RNA
7DUK	A	Bacterial small subunit ribosomal RNA
7NHK	a	Bacterial small subunit ribosomal RNA
7NSO	a	Bacterial small subunit ribosomal RNA
8CVL	2a	Bacterial small subunit ribosomal RNA
4WZD	1G	Bacterial small subunit ribosomal RNA
5WNV	A	Bacterial small subunit ribosomal RNA
6I7V	AA	Bacterial small subunit ribosomal RNA
6ZTN	AA	Bacterial small subunit ribosomal RNA
7NSQ	a	Bacterial small subunit ribosomal RNA
7ST6	3	Bacterial small subunit ribosomal RNA
1JGP	A	Bacterial small subunit ribosomal RNA
3IZZ	E	Bacterial small subunit ribosomal RNA
4V79	AA	Bacterial small subunit ribosomal RNA
6XDQ	D	Bacterial small subunit ribosomal RNA
8A22	B4	Bacterial small subunit ribosomal RNA
1EMI	B	Bacterial small subunit ribosomal RNA
1I96	A	Bacterial small subunit ribosomal RNA
4LFZ	XA	Bacterial small subunit ribosomal RNA
4U1V	CA	Bacterial small subunit ribosomal RNA
4V8G	AA	Bacterial small subunit ribosomal RNA
4V90	AA	Bacterial small subunit ribosomal RNA
4V9D	AA	Bacterial small subunit ribosomal RNA
6NSH	QA	Bacterial small subunit ribosomal RNA
3J2B	N	Bacterial small subunit ribosomal RNA
4V7T	CA	Bacterial small subunit ribosomal RNA
4V8D	AA	Bacterial small subunit ribosomal RNA
4V97	AA	Bacterial small subunit ribosomal RNA
7AF5	1	Bacterial small subunit ribosomal RNA
7S1G	C	Bacterial small subunit ribosomal RNA
1HNZ	A	Bacterial small subunit ribosomal RNA
4V4I	y	Bacterial small subunit ribosomal RNA
6SZS	a	Bacterial small subunit ribosomal RNA
6WUB	a	Bacterial small subunit ribosomal RNA
7QGU	W	Bacterial small subunit ribosomal RNA
7RYH	a	Bacterial small subunit ribosomal RNA
4V5D	CA	Bacterial small subunit ribosomal RNA
4V7W	AA	Bacterial small subunit ribosomal RNA
4V8Q	BA	Bacterial small subunit ribosomal RNA
5HD1	2a	Bacterial small subunit ribosomal RNA
5MDZ	2	Bacterial small subunit ribosomal RNA
6BZ8	XA	Bacterial small subunit ribosomal RNA
6NU3	AA	Bacterial small subunit ribosomal RNA
6SPC	a	Bacterial small subunit ribosomal RNA
6YPU	2	Bacterial small subunit ribosomal RNA
7JSW	3	Bacterial small subunit ribosomal RNA
7OTC	a	Bacterial small subunit ribosomal RNA
7PAQ	5	Bacterial small subunit ribosomal RNA
7U2I	1a	Bacterial small subunit ribosomal RNA
4JI2	A	Bacterial small subunit ribosomal RNA
4V4H	AA	Bacterial small subunit ribosomal RNA
5WFK	a	Bacterial small subunit ribosomal RNA
6NSH	XA	Bacterial small subunit ribosomal RNA
6NY6	A	Bacterial small subunit ribosomal RNA
6O9J	a	Bacterial small subunit ribosomal RNA
6WD1	3	Bacterial small subunit ribosomal RNA
6WD8	3	Bacterial small subunit ribosomal RNA
7M5D	2	Bacterial small subunit ribosomal RNA
3JD5	A	Bacterial small subunit ribosomal RNA
4V53	AA	Bacterial small subunit ribosomal RNA
4V5F	CA	Bacterial small subunit ribosomal RNA
5WF0	a	Bacterial small subunit ribosomal RNA
6BU8	A	Bacterial small subunit ribosomal RNA
6QNQ	1G	Bacterial small subunit ribosomal RNA
7MT7	a	Bacterial small subunit ribosomal RNA
7QGH	0	Bacterial small subunit ribosomal RNA
4WQY	DA	Bacterial small subunit ribosomal RNA
5WNU	A	Bacterial small subunit ribosomal RNA
6OGI	3	Bacterial small subunit ribosomal RNA
1IBL	A	Bacterial small subunit ribosomal RNA
4A2I	A	Bacterial small subunit ribosomal RNA
4P6F	XA	Bacterial small subunit ribosomal RNA
4V4X	AA	Bacterial small subunit ribosomal RNA
4WR6	13	Bacterial small subunit ribosomal RNA
5DFE	QA	Bacterial small subunit ribosomal RNA
5J30	QA	Bacterial small subunit ribosomal RNA
5KPX	26	Bacterial small subunit ribosomal RNA
5LMS	A	Bacterial small subunit ribosomal RNA
6OST	2	Bacterial small subunit ribosomal RNA
7M4X	a	Bacterial small subunit ribosomal RNA
7MT3	a	Bacterial small subunit ribosomal RNA
7NQL	AA	Bacterial small subunit ribosomal RNA
1XMQ	A	Bacterial small subunit ribosomal RNA
4V4W	AA	Bacterial small subunit ribosomal RNA
4V6A	CA	Bacterial small subunit ribosomal RNA
4V7S	CA	Bacterial small subunit ribosomal RNA
4V7Y	CA	Bacterial small subunit ribosomal RNA
5WE4	a	Bacterial small subunit ribosomal RNA
6C5L	AA	Bacterial small subunit ribosomal RNA
7AFL	A	Bacterial small subunit ribosomal RNA
7PO2	A	Bacterial small subunit ribosomal RNA
7Q4K	AA	Bacterial small subunit ribosomal RNA
4U20	CA	Bacterial small subunit ribosomal RNA
4V6Z	AA	Bacterial small subunit ribosomal RNA
4V87	BA	Bacterial small subunit ribosomal RNA
6WDB	3	Bacterial small subunit ribosomal RNA
7JQM	1a	Bacterial small subunit ribosomal RNA
7LV0	3	Bacterial small subunit ribosomal RNA
7PI8	5	Bacterial small subunit ribosomal RNA
4DR7	A	Bacterial small subunit ribosomal RNA
4DV4	A	Bacterial small subunit ribosomal RNA
4V7S	AA	Bacterial small subunit ribosomal RNA
4V9I	CA	Bacterial small subunit ribosomal RNA
4WU1	1G	Bacterial small subunit ribosomal RNA
5HCR	1a	Bacterial small subunit ribosomal RNA
5LZA	a	Bacterial small subunit ribosomal RNA
6TC3	16S1	Bacterial small subunit ribosomal RNA
6WUA	a	Bacterial small subunit ribosomal RNA
6XDR	D	Bacterial small subunit ribosomal RNA
7MSM	a	Bacterial small subunit ribosomal RNA
4DR5	A	Bacterial small subunit ribosomal RNA
4L47	XA	Bacterial small subunit ribosomal RNA
4V5J	CA	Bacterial small subunit ribosomal RNA
6GZZ	A3	Bacterial small subunit ribosomal RNA
6O8W	a	Bacterial small subunit ribosomal RNA
6WDG	3	Bacterial small subunit ribosomal RNA
6X6T	D	Bacterial small subunit ribosomal RNA
7QV1	a	Bacterial small subunit ribosomal RNA
4V7V	CA	Bacterial small subunit ribosomal RNA
5F8K	1a	Bacterial small subunit ribosomal RNA
5HAU	2a	Bacterial small subunit ribosomal RNA
6O3M	QA	Bacterial small subunit ribosomal RNA
6OGF	3	Bacterial small subunit ribosomal RNA
7BOD	A	Bacterial small subunit ribosomal RNA
7BOG	A	Bacterial small subunit ribosomal RNA
1N34	A	Bacterial small subunit ribosomal RNA
4TUB	QA	Bacterial small subunit ribosomal RNA
4V6C	CA	Bacterial small subunit ribosomal RNA
4V83	CA	Bacterial small subunit ribosomal RNA
4V8F	CA	Bacterial small subunit ribosomal RNA
5EL7	1G	Bacterial small subunit ribosomal RNA
5J4C	1a	Bacterial small subunit ribosomal RNA
6HA1	a	Bacterial small subunit ribosomal RNA
4V6A	AA	Bacterial small subunit ribosomal RNA
4V7M	CA	Bacterial small subunit ribosomal RNA
4V9K	CA	Bacterial small subunit ribosomal RNA
5J8B	a	Bacterial small subunit ribosomal RNA
5ZEP	a	Bacterial small subunit ribosomal RNA
6WDK	3	Bacterial small subunit ribosomal RNA
6ZSA	AA	Bacterial small subunit ribosomal RNA
8CSR	A	Bacterial small subunit ribosomal RNA
4V9J	AA	Bacterial small subunit ribosomal RNA
4W2G	AA	Bacterial small subunit ribosomal RNA
4WQF	DA	Bacterial small subunit ribosomal RNA
5IB8	1G	Bacterial small subunit ribosomal RNA
5NJT	A	Bacterial small subunit ribosomal RNA
6GAZ	AA	Bacterial small subunit ribosomal RNA
6NQB	A	Bacterial small subunit ribosomal RNA
6O7K	g	Bacterial small subunit ribosomal RNA
6YWE	aa	Bacterial small subunit ribosomal RNA
4V5S	CA	Bacterial small subunit ribosomal RNA
4X64	A	Bacterial small subunit ribosomal RNA
5LMP	A	Bacterial small subunit ribosomal RNA
5MRE	aa	Bacterial small subunit ribosomal RNA
5WIS	2a	Bacterial small subunit ribosomal RNA
6OF1	2a	Bacterial small subunit ribosomal RNA
7M4W	a	Bacterial small subunit ribosomal RNA
7N30	16	Bacterial small subunit ribosomal RNA
7PJW	a	Bacterial small subunit ribosomal RNA
8B0X	A	Bacterial small subunit ribosomal RNA
3J9Z	SA	Bacterial small subunit ribosomal RNA
4V5J	AA	Bacterial small subunit ribosomal RNA
4V97	CA	Bacterial small subunit ribosomal RNA
4WSM	13	Bacterial small subunit ribosomal RNA
5DOY	2a	Bacterial small subunit ribosomal RNA
5KPV	26	Bacterial small subunit ribosomal RNA
5V8I	1a	Bacterial small subunit ribosomal RNA
6N9E	1a	Bacterial small subunit ribosomal RNA
6W7M	A	Bacterial small subunit ribosomal RNA
6ZSE	AA	Bacterial small subunit ribosomal RNA
7AFN	1	Bacterial small subunit ribosomal RNA
7DUI	A	Bacterial small subunit ribosomal RNA
2OM7	D	Bacterial small subunit ribosomal RNA
4V7L	AA	Bacterial small subunit ribosomal RNA
7BGE	a	Bacterial small subunit ribosomal RNA
7QH4	W	Bacterial small subunit ribosomal RNA
4V42	AA	Bacterial small subunit ribosomal RNA
4V5R	AA	Bacterial small subunit ribosomal RNA
4V5Y	CA	Bacterial small subunit ribosomal RNA
4WRA	13	Bacterial small subunit ribosomal RNA
6ND5	1a	Bacterial small subunit ribosomal RNA
6WD6	3	Bacterial small subunit ribosomal RNA
7AZO	16SA	Bacterial small subunit ribosomal RNA
7AZS	16SA	Bacterial small subunit ribosomal RNA
7NAU	A	Bacterial small subunit ribosomal RNA
4DR1	A	Bacterial small subunit ribosomal RNA
4L71	QA	Bacterial small subunit ribosomal RNA
4LFB	A	Bacterial small subunit ribosomal RNA
5HD1	1a	Bacterial small subunit ribosomal RNA
5U9F	A	Bacterial small subunit ribosomal RNA
6B4V	EB	Bacterial small subunit ribosomal RNA
6NF8	A	Bacterial small subunit ribosomal RNA
7UNU	a	Bacterial small subunit ribosomal RNA
4V6K	BA	Bacterial small subunit ribosomal RNA
6NWY	QA	Bacterial small subunit ribosomal RNA
6QNR	1G	Bacterial small subunit ribosomal RNA
6UCQ	2a	Bacterial small subunit ribosomal RNA
6Y69	a	Bacterial small subunit ribosomal RNA
6ZM6	AA	Bacterial small subunit ribosomal RNA
7SA4	2	Bacterial small subunit ribosomal RNA
7SSL	3	Bacterial small subunit ribosomal RNA
7U2J	1a	Bacterial small subunit ribosomal RNA
4U24	CA	Bacterial small subunit ribosomal RNA
4V7V	AA	Bacterial small subunit ribosomal RNA
7PAR	5	Bacterial small subunit ribosomal RNA
8CST	A	Bacterial small subunit ribosomal RNA
2VQF	A	Bacterial small subunit ribosomal RNA
6BZ7	XA	Bacterial small subunit ribosomal RNA
6OXI	XA	Bacterial small subunit ribosomal RNA
6WD3	3	Bacterial small subunit ribosomal RNA
5CZP	XA	Bacterial small subunit ribosomal RNA
5LZE	a	Bacterial small subunit ribosomal RNA
5VPP	QA	Bacterial small subunit ribosomal RNA
6CAO	A	Bacterial small subunit ribosomal RNA
6VZ7	D	Bacterial small subunit ribosomal RNA
7PIQ	5	Bacterial small subunit ribosomal RNA
7V2L	A	Bacterial small subunit ribosomal RNA
4V9L	AA	Bacterial small subunit ribosomal RNA
6ORD	XA	Bacterial small subunit ribosomal RNA
6OSK	2	Bacterial small subunit ribosomal RNA
2UXD	A	Bacterial small subunit ribosomal RNA
6GAW	AA	Bacterial small subunit ribosomal RNA
6MPI	A	Bacterial small subunit ribosomal RNA
4TUA	QA	Bacterial small subunit ribosomal RNA
5OT7	1	Bacterial small subunit ribosomal RNA
6BUW	QA	Bacterial small subunit ribosomal RNA
6CFL	2a	Bacterial small subunit ribosomal RNA
4TUD	QA	Bacterial small subunit ribosomal RNA
4V4G	IA	Bacterial small subunit ribosomal RNA
4W2I	CA	Bacterial small subunit ribosomal RNA
4WR6	1G	Bacterial small subunit ribosomal RNA
5WNT	A	Bacterial small subunit ribosomal RNA
6BZ7	QA	Bacterial small subunit ribosomal RNA
6DTI	A	Bacterial small subunit ribosomal RNA
6GSL	13	Bacterial small subunit ribosomal RNA
6GSL	1G	Bacterial small subunit ribosomal RNA
6YEF	a	Bacterial small subunit ribosomal RNA
7NHM	a	Bacterial small subunit ribosomal RNA
7U2I	2a	Bacterial small subunit ribosomal RNA
5KCR	1a	Bacterial small subunit ribosomal RNA
6QNR	13	Bacterial small subunit ribosomal RNA
7ACR	2	Bacterial small subunit ribosomal RNA
7OE1	A	Bacterial small subunit ribosomal RNA
7P48	a	Bacterial small subunit ribosomal RNA
4JI6	A	Bacterial small subunit ribosomal RNA
4V9R	AA	Bacterial small subunit ribosomal RNA
4W2E	a	Bacterial small subunit ribosomal RNA
5UYL	A	Bacterial small subunit ribosomal RNA
6ENF	a	Bacterial small subunit ribosomal RNA
6FKR	2a	Bacterial small subunit ribosomal RNA
7ACJ	2	Bacterial small subunit ribosomal RNA
2UUA	A	Bacterial small subunit ribosomal RNA
4L71	XA	Bacterial small subunit ribosomal RNA
4V5Q	AA	Bacterial small subunit ribosomal RNA
4V6Q	AA	Bacterial small subunit ribosomal RNA
5W4K	1a	Bacterial small subunit ribosomal RNA
5WIS	1a	Bacterial small subunit ribosomal RNA
6DNC	A	Bacterial small subunit ribosomal RNA
6SPF	a	Bacterial small subunit ribosomal RNA
6VYZ	D	Bacterial small subunit ribosomal RNA
Line_no:88:	https://rfam.org/family/RF00029#tabview=tab6
7D1A	A	Group II catalytic intron
2LPS	A	Group II catalytic intron
4R0D	A	Group II catalytic intron
7UIM	B	Group II catalytic intron
5G2Y	A	Group II catalytic intron
6CIH	A	Group II catalytic intron
7UIN	B	Group II catalytic intron
6ME0	A	Group II catalytic intron
1R2P	A	Group II catalytic intron
6MEC	A	Group II catalytic intron
8H2H	A	Group II catalytic intron
6CHR	A	Group II catalytic intron
1KXK	A	Group II catalytic intron
7D0F	A	Group II catalytic intron
5G2X	A	Group II catalytic intron
Line_no:89:	https://rfam.org/family/RF01854#tabview=tab6
4WFL	A	Bacterial large signal recognition particle RNA
4WFM	B	Bacterial large signal recognition particle RNA
7O5B	W	Bacterial large signal recognition particle RNA
4WFM	A	Bacterial large signal recognition particle RNA
4UE4	A	Bacterial large signal recognition particle RNA
Line_no:90:	https://rfam.org/family/RF00210#tabview=tab6
2NBX	A	Aphthovirus internal ribosome entry site (IRES)
Line_no:91:	https://rfam.org/family/RF00009#tabview=tab6
6AGB	A	Nuclear RNase P
6AHR	A	Nuclear RNase P
